galgame_id	workno	score	matched_field
500	VJ011634	1.00	ja
501	VJ011208	1.00	ja
502	VJ010600	1.00	ja
503	VJ011651	1.00	ja
504	VJ011633	1.00	ja
537	VJ015104	1.00	ja
540	VJ011000	1.00	ja
549	VJ011410	0.92	ja
551	VJ002559	0.90	ja
552	VJ004438	1.00	ja
553	VJ007036	1.00	ja
557	VJ007902	1.00	ja
559	VJ009553	1.00	ja
563	VJ008637	1.00	ja
564	VJ006497	1.00	ja
566	VJ004938	0.77	ja
567	VJ012123	1.00	ja
568	VJ008529	1.00	alias
569	VJ011759	1.00	alias
571	VJ013965	1.00	ja
584	VJ015188	1.00	ja
585	VJ015195	1.00	ja
586	VJ015194	1.00	ja
587	VJ013163	1.00	ja
588	VJ012351	1.00	ja
589	VJ011798	1.00	ja
590	VJ014803	1.00	ja
591	VJ010377	1.00	ja
592	VJ012604	1.00	ja
593	VJ010784	1.00	ja
594	VJ014808	1.00	ja
595	VJ015644	1.00	ja
601	VJ009245	1.00	ja
604	VJ005473	1.00	ja
606	RJ365062	1.00	ja
607	VJ006832	1.00	ja
608	RJ373005	1.00	ja
609	RJ01112520	1.00	ja
610	RJ01212507	1.00	en
611	RJ01060386	1.00	ja
612	RJ420175	1.00	alias
614	VJ011885	1.00	ja
615	VJ013773	1.00	ja
616	VJ007870	1.00	ja
625	RJ051173	1.00	ja
642	RJ083612	1.00	ja
646	VJ010686	1.00	ja
665	VJ012765	1.00	ja
666	VJ014099	1.00	ja
667	VJ014888	1.00	ja
670	VJ006698	1.00	alias
671	VJ004282	1.00	ja
672	VJ012764	0.96	ja
676	RJ356899	1.00	ja
681	VJ008889	1.00	ja
686	VJ012485	1.00	ja
688	VJ012607	1.00	ja
689	VJ012808	1.00	ja
690	VJ013531	1.00	ja
712	VJ013932	1.00	ja
713	VJ014932	1.00	ja
714	VJ015675	1.00	ja
715	VJ011678	1.00	ja
716	VJ009745	1.00	ja
719	VJ012939	1.00	ja
728	VJ011308	1.00	ja
729	RJ01214934	1.00	ja
730	RJ262908	1.00	ja
731	RJ233889	1.00	ja
732	RJ185754	1.00	ja
733	RJ162097	1.00	ja
734	RJ079647	1.00	ja
735	RJ093972	1.00	ja
741	VJ008137	1.00	ja
742	VJ010806	1.00	ja
751	VJ010349	1.00	ja
754	VJ010273	1.00	ja
764	RJ280657	1.00	ja
765	VJ011811	1.00	ja
766	VJ010654	1.00	ja
769	RJ399143	1.00	ja
770	VJ011755	1.00	ja
778	RJ082257	1.00	ja
782	RJ382054	1.00	en
793	VJ010954	1.00	ja
800	VJ012558	1.00	ja
806	VJ006699	1.00	ja
807	RJ294560	1.00	ja
808	VJ004373	1.00	en
809	VJ005148	1.00	ja
813	RJ038558	1.00	ja
814	RJ042095	1.00	ja
815	RJ054062	1.00	ja
817	VJ008979	1.00	ja
820	VJ015804	1.00	ja
822	VJ010955	1.00	ja
823	VJ011205	1.00	ja
824	VJ011599	1.00	ja
825	VJ011985	1.00	ja
826	VJ012569	1.00	ja
827	VJ012570	1.00	ja
828	VJ013584	1.00	ja
829	VJ015118	1.00	ja
834	VJ003627	1.00	en
838	RJ249330	1.00	ja
839	VJ011271	1.00	ja
842	VJ009186	1.00	en
848	VJ008023	1.00	alias
849	VJ014860	1.00	en
862	VJ010098	1.00	ja
863	RJ408348	1.00	ja
864	VJ002520	1.00	ja
865	VJ003481	1.00	en
866	VJ002237	1.00	en
867	VJ002429	1.00	en
868	VJ006984	1.00	alias
869	VJ008888	1.00	alias
872	VJ006602	1.00	ja
874	VJ008694	1.00	ja
875	VJ009369	1.00	ja
880	VJ002789	1.00	en
884	VJ005277	1.00	ja
886	VJ004755	1.00	ja
892	RJ01318457	1.00	ja
893	VJ010188	1.00	ja
894	VJ009460	1.00	ja
895	VJ007073	1.00	ja
898	VJ007080	1.00	ja
899	VJ007533	1.00	ja
907	RJ01012429	1.00	ja
909	VJ010858	1.00	ja
910	VJ015595	1.00	ja
915	VJ010573	1.00	ja
916	VJ006640	1.00	ja
917	VJ014937	1.00	ja
920	VJ001237	1.00	alias
924	VJ005375	1.00	ja
927	VJ007463	1.00	ja
928	VJ010196	1.00	zh
929	VJ005373	0.62	ja
930	VJ011803	1.00	ja
931	VJ006843	1.00	ja
934	VJ014738	1.00	ja
936	VJ003995	1.00	alias
940	VJ009220	1.00	ja
942	VJ012466	1.00	ja
945	VJ006878	1.00	en
946	VJ001614	1.00	en
952	VJ014500	1.00	ja
956	VJ007495	1.00	ja
957	VJ009720	1.00	ja
963	RJ076967	1.00	ja
964	VJ012350	1.00	ja
965	VJ009608	1.00	ja
966	VJ013171	1.00	ja
967	VJ013522	1.00	ja
969	VJ005213	1.00	ja
970	RJ299604	1.00	ja
972	VJ006231	0.67	zh
973	RJ158166	1.00	ja
981	VJ007362	1.00	alias
983	VJ012571	1.00	ja
984	VJ013513	1.00	ja
989	VJ011597	1.00	ja
994	RJ250595	1.00	ja
998	VJ015617	1.00	ja
1003	VJ003809	1.00	ja
1011	VJ010438	1.00	ja
1014	RJ041947	1.00	ja
1015	RJ146230	1.00	ja
1022	VJ006929	1.00	ja
1024	VJ014640	1.00	ja
1028	RJ321730	1.00	ja
1029	VJ013815	1.00	ja
1030	VJ013813	1.00	ja
1031	VJ013814	1.00	ja
1032	VJ013816	1.00	ja
1034	RJ190193	1.00	ja
1035	RJ405243	1.00	ja
1036	RJ01015758	1.00	ja
1047	RJ173185	1.00	ja
1055	VJ014560	1.00	ja
1059	VJ001771	1.00	en
1076	VJ009832	1.00	ja
1083	VJ007750	1.00	ja
1085	VJ003490	1.00	ja
1088	RJ150384	1.00	ja
1089	RJ222062	1.00	ja
1090	RJ222970	1.00	ja
1091	RJ226128	1.00	ja
1092	RJ01186756	1.00	ja
1093	VJ012499	1.00	ja
1095	VJ010641	1.00	ja
1098	VJ008859	1.00	ja
1100	VJ014859	1.00	ja
1103	RJ301024	1.00	ja
1104	VJ006762	1.00	en
1105	VJ007374	1.00	alias
1114	VJ015261	1.00	ja
1118	VJ014658	1.00	ja
1121	VJ011421	1.00	ja
1124	RJ01189784	1.00	alias
1127	VJ012599	1.00	ja
1128	VJ010653	1.00	ja
1130	VJ008787	1.00	ja
1131	VJ007749	1.00	ja
1135	VJ007476	1.00	ja
1136	VJ007178	1.00	ja
1137	VJ014556	1.00	ja
1142	RJ296007	1.00	en
1143	VJ010966	1.00	ja
1144	VJ011457	1.00	ja
1146	VJ007927	1.00	ja
1148	VJ011392	1.00	zh
1154	VJ002025	1.00	ja
1156	RJ01341157	1.00	alias
1157	VJ007995	1.00	ja
1162	VJ010439	1.00	ja
1163	VJ011542	1.00	ja
1164	VJ011444	1.00	ja
1166	VJ006595	1.00	ja
1170	RJ01088788	1.00	ja
1174	VJ006209	1.00	ja
1176	VJ008933	0.97	ja
1181	VJ012919	1.00	zh
1183	VJ015025	1.00	ja
1184	VJ015404	1.00	ja
1186	VJ012407	1.00	ja
1187	VJ012082	1.00	ja
1190	RJ231948	1.00	ja
1191	VJ012401	1.00	alias
1192	VJ011568	1.00	alias
1194	RJ068350	1.00	ja
1196	RJ410787	1.00	ja
1199	VJ013654	1.00	ja
1200	VJ013653	1.00	ja
1201	VJ015377	1.00	ja
1204	VJ010487	1.00	ja
1214	VJ011615	1.00	ja
1221	VJ013727	1.00	ja
1223	VJ013728	1.00	ja
1224	VJ008161	1.00	ja
1225	VJ006886	1.00	ja
1226	VJ008261	1.00	ja
1231	VJ006569	1.00	ja
1232	VJ010510	1.00	ja
1237	VJ010331	1.00	ja
1239	VJ015588	0.92	ja
1241	VJ015694	1.00	ja
1245	RJ034739	1.00	ja
1246	VJ007356	1.00	ja
1255	VJ009810	1.00	en
1262	RJ01020541	1.00	ja
1271	VJ008117	1.00	ja
1273	VJ011262	1.00	ja
1274	VJ010508	1.00	ja
1275	VJ007259	1.00	ja
1278	VJ010219	1.00	ja
1279	VJ011375	1.00	ja
1280	VJ011451	1.00	ja
1281	VJ011592	1.00	ja
1282	VJ011725	1.00	ja
1284	VJ011977	1.00	ja
1285	VJ012064	1.00	ja
1286	VJ012209	1.00	ja
1287	VJ012325	1.00	ja
1288	VJ012432	1.00	ja
1289	VJ012670	1.00	ja
1290	VJ012879	1.00	ja
1291	VJ012993	1.00	ja
1292	VJ013122	1.00	ja
1293	VJ013689	1.00	ja
1294	VJ013891	1.00	ja
1295	VJ013961	1.00	ja
1296	VJ014634	1.00	ja
1297	VJ014782	1.00	ja
1298	VJ014933	1.00	ja
1299	VJ015125	1.00	ja
1300	VJ015653	1.00	ja
1301	VJ015784	1.00	ja
1307	VJ011648	1.00	ja
1308	VJ012877	1.00	ja
1319	RJ01222217	1.00	ja
1321	VJ012822	1.00	ja
1323	VJ011461	1.00	en
1324	VJ012980	1.00	ja
1327	VJ004746	1.00	ja
1328	VJ005696	1.00	ja
1332	VJ007312	1.00	ja
1333	VJ013486	1.00	ja
1334	VJ008011	1.00	ja
1335	VJ005215	1.00	ja
1336	VJ003950	1.00	ja
1337	VJ012271	1.00	ja
1339	RJ358705	1.00	en
1340	VJ013907	1.00	ja
1343	RJ01309156	1.00	ja
1345	VJ009437	1.00	ja
1349	VJ005108	1.00	ja
1350	VJ005370	1.00	ja
1351	VJ014374	1.00	ja
1352	RJ01294420	1.00	ja
1353	RJ111110	1.00	ja
1354	VJ004575	1.00	ja
1355	RJ291856	1.00	ja
1359	VJ013555	1.00	ja
1360	VJ009260	1.00	ja
1363	VJ001682	1.00	ja
1366	VJ010771	1.00	ja
1367	VJ014685	0.96	ja
1369	VJ002024	1.00	ja
1370	VJ014683	0.95	ja
1377	VJ014336	1.00	ja
1378	VJ010695	1.00	ja
1380	RJ047605	1.00	alias
1383	VJ010755	1.00	ja
1385	VJ007885	1.00	ja
1388	VJ013108	1.00	ja
1389	VJ014806	1.00	ja
1391	VJ010452	1.00	ja
1392	VJ014807	1.00	ja
1396	VJ014804	1.00	ja
1397	VJ014799	1.00	ja
1398	VJ014800	1.00	ja
1400	VJ014794	1.00	ja
1401	VJ011326	1.00	ja
1402	VJ014796	1.00	ja
1406	RJ328900	1.00	ja
1409	RJ031085	0.93	ja
1411	RJ047604	1.00	en
1413	RJ364465	1.00	ja
1420	RJ01239911	1.00	ja
1429	RJ01093457	1.00	ja
1431	VJ014934	1.00	ja
1435	VJ014098	1.00	ja
1437	VJ007508	1.00	ja
1444	VJ013933	1.00	ja
1451	VJ015387	1.00	ja
1460	RJ161756	1.00	ja
1462	VJ014021	1.00	ja
1465	VJ013398	1.00	alias
1468	RJ343825	1.00	ja
1469	VJ006332	1.00	ja
1470	VJ005023	1.00	ja
1471	VJ009277	1.00	ja
1472	VJ009820	1.00	ja
1473	VJ007923	1.00	ja
1475	VJ007799	1.00	ja
1480	VJ014550	1.00	ja
1483	VJ008500	1.00	ja
1484	VJ015690	1.00	ja
1485	VJ015705	1.00	ja
1487	VJ005251	1.00	ja
1488	RJ066016	1.00	ja
1489	VJ008445	1.00	ja
1493	VJ009542	1.00	ja
1498	RJ247186	1.00	en
1504	VJ011923	1.00	ja
1507	VJ005185	1.00	ja
1518	VJ005798	1.00	ja
1520	VJ006773	1.00	ja
1521	VJ011957	1.00	ja
1523	VJ002735	1.00	ja
1527	RJ272900	1.00	en
1528	RJ170840	1.00	en
1535	RJ204066	1.00	ja
1539	RJ126839	1.00	ja
1541	VJ008513	1.00	ja
1542	VJ006487	1.00	ja
1544	VJ015645	1.00	ja
1547	VJ009285	1.00	ja
1548	RJ219681	1.00	ja
1550	VJ010398	1.00	ja
1552	VJ010152	1.00	ja
1554	RJ174985	1.00	ja
1555	VJ012735	1.00	ja
1556	VJ012036	1.00	ja
1557	RJ298338	1.00	ja
1558	VJ015787	1.00	ja
1560	RJ01141121	1.00	ja
1568	VJ012676	1.00	ja
1569	RJ204938	1.00	ja
1570	RJ435614	1.00	ja
1571	VJ013564	1.00	ja
1572	RJ394799	1.00	ja
1573	RJ113708	1.00	ja
1574	RJ208246	1.00	ja
1576	VJ006571	1.00	ja
1577	VJ010346	1.00	ja
1579	VJ013720	1.00	ja
1580	RJ290194	1.00	ja
1582	VJ011156	1.00	ja
1585	RJ154958	1.00	ja
1587	VJ013583	1.00	ja
1589	RJ233623	0.91	ja
1592	RJ422703	1.00	ja
1593	RJ01088229	1.00	ja
1595	VJ008905	1.00	ja
1600	VJ012484	1.00	ja
1602	VJ004265	1.00	alias
1605	RJ01245269	1.00	ja
1607	RJ283039	1.00	ja
1609	VJ011541	1.00	ja
1610	VJ009451	1.00	ja
1612	VJ015386	1.00	ja
1617	VJ007827	1.00	ja
1618	VJ015291	1.00	ja
1619	RJ080563	1.00	alias
1620	VJ002890	1.00	ja
1621	VJ014725	1.00	ja
1622	VJ006764	1.00	ja
1623	RJ354914	1.00	ja
1624	RJ264149	1.00	ja
1625	VJ004869	1.00	ja
1626	VJ013622	1.00	ja
1628	RJ212553	1.00	ja
1630	VJ004756	1.00	ja
1632	VJ006117	1.00	ja
1636	RJ112139	1.00	ja
1638	VJ009350	1.00	alias
1645	VJ010418	1.00	ja
1646	VJ010417	1.00	ja
1648	VJ009515	1.00	ja
1651	VJ007241	1.00	alias
1652	VJ014965	1.00	ja
1654	VJ004581	1.00	ja
1655	VJ008453	0.73	zh
1657	VJ008116	1.00	ja
1661	RJ043317	1.00	ja
1663	VJ009499	1.00	ja
1668	VJ012981	1.00	zh
1670	VJ015103	1.00	ja
1671	VJ012444	1.00	ja
1673	VJ007085	1.00	ja
1674	VJ011088	1.00	ja
1678	RJ140035	1.00	ja
1680	VJ008973	1.00	ja
1681	VJ009470	1.00	ja
1683	VJ010478	1.00	ja
1684	RJ01208164	1.00	ja
1685	VJ013288	1.00	ja
1689	VJ011941	1.00	ja
1690	VJ013177	1.00	ja
1691	RJ01300224	1.00	ja
1694	VJ004554	1.00	ja
1695	VJ007240	1.00	ja
1696	RJ01037923	1.00	ja
1697	RJ146604	1.00	ja
1698	VJ015284	1.00	ja
1699	RJ01153311	1.00	ja
1700	VJ011029	1.00	ja
1701	VJ004701	1.00	alias
1702	VJ008985	1.00	ja
1703	VJ008029	1.00	ja
1705	VJ009847	1.00	ja
1707	VJ009665	1.00	ja
1712	VJ013662	1.00	ja
1713	VJ007498	1.00	alias
1714	RJ419937	1.00	ja
1715	VJ011816	1.00	ja
1718	VJ014495	1.00	ja
1720	VJ008980	1.00	ja
1734	VJ011067	1.00	ja
1738	VJ006030	1.00	ja
1740	VJ012838	1.00	ja
1741	VJ007628	1.00	ja
1743	RJ01026220	1.00	ja
1746	RJ124636	1.00	ja
1747	VJ014571	1.00	ja
1748	VJ006683	1.00	ja
1750	VJ010427	1.00	ja
1751	VJ011141	0.62	ja
1752	RJ332537	1.00	ja
1753	RJ332573	1.00	ja
1754	RJ393132	1.00	ja
1755	VJ003981	1.00	ja
1756	VJ005905	1.00	ja
1757	VJ006867	1.00	ja
1759	VJ008812	1.00	ja
1760	VJ009219	1.00	ja
1761	VJ006589	1.00	ja
1762	VJ006056	1.00	en
1763	VJ006532	1.00	ja
1765	RJ184864	1.00	ja
1767	VJ009664	1.00	ja
1772	RJ208421	1.00	ja
1775	VJ012574	1.00	ja
1776	VJ013483	1.00	ja
1783	RJ104472	1.00	ja
1788	VJ008873	1.00	ja
1792	VJ012926	1.00	ja
1793	VJ011683	1.00	ja
1794	RJ149874	1.00	ja
1795	VJ011825	1.00	ja
1796	VJ012990	1.00	ja
1797	VJ013575	1.00	ja
1798	VJ010244	1.00	ja
1800	RJ01303557	1.00	ja
1801	VJ004477	1.00	ja
1802	VJ005450	1.00	ja
1803	VJ012092	1.00	ja
1809	RJ049488	1.00	ja
1810	RJ087298	1.00	ja
1812	VJ010748	1.00	ja
1813	VJ009454	1.00	ja
1814	VJ009780	0.82	ja
1815	VJ010776	1.00	ja
1816	VJ008159	1.00	ja
1817	VJ009535	1.00	ja
1818	VJ011998	1.00	ja
1819	VJ009587	1.00	ja
1820	VJ008429	1.00	ja
1823	VJ010845	1.00	ja
1824	VJ011898	1.00	ja
1825	VJ012467	1.00	ja
1826	VJ009500	1.00	ja
1827	VJ013454	1.00	ja
1828	VJ004535	1.00	ja
1829	VJ011688	1.00	ja
1831	VJ009633	1.00	ja
1832	VJ010039	0.97	ja
1833	VJ010375	0.99	ja
1834	VJ012475	1.00	ja
1835	VJ012972	1.00	ja
1836	VJ013391	1.00	ja
1837	VJ013904	1.00	ja
1838	RJ240619	1.00	ja
1839	VJ008278	1.00	zh
1840	VJ008035	1.00	ja
1844	VJ010553	1.00	ja
1847	VJ011656	1.00	ja
1848	RJ01048672	1.00	ja
1849	RJ112466	1.00	ja
1851	VJ007994	1.00	ja
1853	VJ007853	1.00	ja
1854	RJ221906	1.00	ja
1855	VJ011520	1.00	en
1858	VJ011133	1.00	ja
1859	VJ011150	1.00	ja
1860	RJ188157	1.00	ja
1863	VJ007002	1.00	ja
1864	VJ008904	1.00	ja
1865	VJ009419	1.00	ja
1866	VJ008265	1.00	ja
1868	VJ007497	1.00	ja
1869	VJ008619	1.00	ja
1871	VJ012365	1.00	ja
1872	RJ238792	1.00	ja
1873	RJ223032	1.00	ja
1876	VJ011252	1.00	ja
1877	VJ010507	1.00	alias
1878	VJ009655	1.00	ja
1880	RJ119660	1.00	ja
1881	VJ009251	1.00	ja
1884	VJ004808	1.00	ja
1887	VJ009011	1.00	ja
1889	VJ008830	1.00	ja
1892	RJ169540	1.00	ja
1893	RJ112706	0.88	ja
1896	VJ009430	1.00	ja
1899	VJ013656	1.00	ja
1900	VJ013655	1.00	ja
1901	RJ273816	1.00	ja
1902	RJ260241	1.00	ja
1913	VJ014364	1.00	ja
1934	RJ082623	1.00	ja
1936	RJ157224	1.00	ja
1937	VJ014758	1.00	ja
1938	VJ013346	1.00	ja
1939	RJ023279	1.00	en
1942	VJ007677	1.00	ja
1944	RJ226879	0.71	ja
1946	RJ209044	1.00	ja
1949	VJ005037	1.00	ja
1953	VJ006175	0.79	ja
1955	VJ007583	1.00	ja
1960	VJ004412	1.00	ja
1964	RJ107807	1.00	alias
1965	VJ004337	1.00	en
1967	VJ014797	1.00	ja
1972	VJ010345	1.00	ja
1975	VJ009471	1.00	ja
1976	RJ01144406	1.00	ja
1977	VJ008956	1.00	ja
1979	VJ006197	1.00	ja
1980	VJ012363	1.00	ja
1981	VJ009936	1.00	ja
1983	RJ350820	1.00	ja
1985	RJ321194	1.00	ja
1986	RJ171858	1.00	ja
1987	RJ01069003	1.00	ja
1989	RJ01043101	1.00	ja
1990	VJ013376	1.00	ja
1992	VJ010562	1.00	ja
1993	VJ005907	1.00	ja
1995	VJ010419	1.00	ja
1998	VJ005231	1.00	ja
1999	VJ009980	1.00	ja
2000	RJ273731	1.00	ja
2001	RJ247646	1.00	ja
2002	VJ003906	1.00	ja
2003	RJ024441	1.00	ja
2004	VJ011819	1.00	ja
2005	RJ01197240	1.00	ja
2006	VJ007039	1.00	ja
2007	VJ012792	1.00	ja
2008	RJ01037636	1.00	ja
2009	RJ01094358	1.00	ja
2010	RJ281393	1.00	ja
2013	VJ003543	0.67	ja
2014	RJ164595	1.00	ja
2017	VJ013830	1.00	ja
2018	VJ012052	1.00	ja
2019	VJ006938	1.00	ja
2020	VJ011842	1.00	ja
2022	RJ021838	1.00	alias
2024	RJ093003	1.00	en
2025	VJ007969	1.00	ja
2026	VJ009318	1.00	ja
2028	VJ004197	1.00	ja
2030	VJ006586	1.00	ja
2032	RJ081887	1.00	ja
2034	RJ098769	1.00	ja
2035	VJ002824	1.00	alias
2038	VJ004745	1.00	ja
2040	RJ128539	1.00	ja
2041	VJ011852	1.00	ja
2043	VJ008961	1.00	ja
2046	RJ252911	1.00	ja
2048	RJ146888	1.00	ja
2049	VJ010640	1.00	ja
2050	VJ010692	1.00	ja
2051	VJ012290	1.00	ja
2053	VJ009391	1.00	ja
2055	VJ013576	1.00	ja
2057	VJ007522	1.00	ja
2059	VJ003446	1.00	ja
2064	RJ043090	1.00	ja
2066	VJ005703	0.73	en
2067	RJ111167	1.00	ja
2069	VJ007977	1.00	ja
2079	VJ005395	1.00	ja
2081	VJ013993	1.00	ja
2082	VJ006903	1.00	zh
2085	VJ008262	1.00	ja
2087	VJ007788	1.00	ja
2091	VJ011032	1.00	ja
2106	VJ007937	1.00	ja
2107	VJ010033	1.00	ja
2109	VJ008259	1.00	ja
2111	VJ009825	1.00	ja
2115	VJ013261	1.00	ja
2119	VJ004739	1.00	ja
2121	VJ010405	1.00	ja
2124	RJ150181	1.00	ja
2126	RJ274366	1.00	ja
2127	VJ012278	1.00	ja
2132	VJ003579	1.00	ja
2134	VJ003335	1.00	zh
2135	VJ006403	1.00	alias
2136	RJ048759	1.00	ja
2138	RJ112298	1.00	ja
2140	VJ005768	1.00	ja
2141	RJ233486	1.00	ja
2142	RJ278209	1.00	ja
2144	RJ065032	1.00	ja
2150	VJ005974	1.00	ja
2152	RJ01062398	0.97	ja
2153	VJ007285	1.00	ja
2155	VJ012567	1.00	ja
2156	RJ01124512	1.00	ja
2158	VJ015782	1.00	ja
2162	VJ002825	1.00	ja
2165	VJ007955	1.00	ja
2168	RJ108621	1.00	ja
2170	VJ008340	1.00	ja
2172	VJ009472	0.61	ja
2173	VJ006786	1.00	ja
2176	VJ004564	1.00	ja
2177	VJ003459	1.00	ja
2180	VJ012913	1.00	ja
2182	VJ012522	1.00	ja
2187	RJ119826	1.00	ja
2188	RJ175016	1.00	ja
2191	VJ007976	1.00	ja
2193	VJ010841	1.00	ja
2195	VJ007248	1.00	ja
2196	VJ006783	1.00	ja
2197	VJ002810	1.00	ja
2198	VJ007735	1.00	ja
2199	VJ005222	1.00	ja
2200	RJ082746	1.00	ja
2201	RJ102171	1.00	ja
2202	VJ004737	1.00	ja
2204	VJ008268	1.00	ja
2205	VJ007691	1.00	ja
2206	RJ173418	1.00	ja
2213	VJ013146	1.00	ja
2218	VJ008639	1.00	ja
2219	RJ01105713	1.00	ja
2220	VJ010698	1.00	ja
2221	VJ012915	1.00	ja
2222	VJ013114	1.00	ja
